Category,Label,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4,2021-Q3,2021-Q2,2021-Q1,2020-Q4,2020-Q3,2020-Q2,2020-Q1,2019-Q4,2019-Q3,2019-Q2,2019-Q1,2018-Q4,2018-Q3,2018-Q2,2018-Q1,2017-Q4,2017-Q3,2017-Q2,2017-Q1,2016-Q4,2016-Q3,2016-Q2,2016-Q1,2015-Q4,2015-Q3,2015-Q2,2015-Q1,2014-Q4,2014-Q3,2014-Q2,2014-Q1,2013-Q4,2013-Q3,2013-Q2,2013-Q1,2012-Q4,2012-Q3,2012-Q2,2012-Q1,2011-Q4,2011-Q3,2011-Q2,2011-Q1
0_Period_Header,Period Ending,03/31/26,12/31/25,09/30/25,06/30/25,03/31/25,12/31/24,09/30/24,06/30/24,03/31/24,12/31/23,09/30/23,06/30/23,03/31/23,12/31/22,09/30/22,06/30/22,03/31/22,12/31/21,09/30/21,06/30/21,03/31/21,12/31/20,09/30/20,06/30/20,03/31/20,12/31/19,09/30/19,06/30/19,03/31/19,12/31/18,09/30/18,06/30/18,03/31/18,12/31/17,09/30/17,06/30/17,03/31/17,12/31/16,09/30/16,06/30/16,03/31/16,12/31/15,09/30/15,06/30/15,03/31/15,12/31/14,09/30/14,06/30/14,03/31/14,12/31/13,09/30/13,06/30/13,03/31/13,12/31/12,,,,,,,
1_Income_Statement,Revenue,8398000000.0,8806000000.0,8602000000.0,8133000000.0,7250000000.0,7489000000.0,7369000000.0,6961000000.0,6348000000.0,6548000000.0,6533000000.0,6269000000.0,5748000000.0,5817000000.0,5756000000.0,5497000000.0,5167000000.0,5216000000.0,4985000000.0,4528000000.0,4155000000.0,4120000000.0,3837000000.0,3335000000.0,4009000000.0,4414000000.0,4467000000.0,4113000000.0,3889000000.0,3807000000.0,3898000000.0,3665000000.0,3580000000.0,3312000000.0,3398000000.0,3053000000.0,2734000000.0,2756000000.0,2880000000.0,2694000000.0,2446000000.0,2517000000.0,2530000000.0,2390000000.0,2230000000.0,2411000000.0,2490000000.0,2368000000.0,2172000000.0,2126000000.0,2218000000.0,2096000000.0,1906000000.0,1895000000.0,1918000000.0,1820000000.0,1758000000.0,1728000000.0,1818000000.0,1667000000.0,1501000000.0
1_Income_Statement,Revenue - Payment Network,4948000000.0,4920000000.0,5179000000.0,4945000000.0,4432000000.0,4411000000.0,4629000000.0,4375000000.0,3920000000.0,3891000000.0,4210000000.0,4073000000.0,3650000000.0,3585000000.0,3765000000.0,3609000000.0,3399000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_Income_Statement,Revenue - Value Added Services And Solutions,3450000000.0,3886000000.0,3423000000.0,3188000000.0,2818000000.0,3078000000.0,2740000000.0,2586000000.0,2428000000.0,2657000000.0,2323000000.0,2196000000.0,2098000000.0,2232000000.0,1991000000.0,1888000000.0,1768000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_Income_Statement,General & Administrative,3039000000.0,3106000000.0,2923000000.0,2766000000.0,2523000000.0,2745000000.0,2744000000.0,2418000000.0,2286000000.0,2399000000.0,2285000000.0,2200000000.0,2043000000.0,2218000000.0,2069000000.0,1947000000.0,1844000000.0,1862000000.0,1831000000.0,1718000000.0,1676000000.0,1625000000.0,1423000000.0,1368000000.0,1494000000.0,1579000000.0,1448000000.0,1369000000.0,1367000000.0,1400000000.0,1268000000.0,1184000000.0,1321000000.0,1491000000.0,1136000000.0,1075000000.0,951000000.0,1096000000.0,933000000.0,930000000.0,868000000.0,998000000.0,883000000.0,810000000.0,650000000.0,972000000.0,784000000.0,731000000.0,665000000.0,685000000.0,701000000.0,621000000.0,608000000.0,639000000.0,620000000.0,591000000.0,579000000.0,,,,
1_Income_Statement,Marketing Expense,153000000.0,319000000.0,245000000.0,213000000.0,152000000.0,295000000.0,220000000.0,184000000.0,116000000.0,264000000.0,193000000.0,201000000.0,167000000.0,216000000.0,182000000.0,210000000.0,181000000.0,338000000.0,222000000.0,216000000.0,119000000.0,242000000.0,168000000.0,93000000.0,154000000.0,290000000.0,227000000.0,225000000.0,192000000.0,303000000.0,203000000.0,205000000.0,197000000.0,184000000.0,203000000.0,214000000.0,170000000.0,195000000.0,184000000.0,184000000.0,135000000.0,319000000.0,184000000.0,176000000.0,142000000.0,337000000.0,203000000.0,173000000.0,149000000.0,321000000.0,205000000.0,186000000.0,129000000.0,295000000.0,176000000.0,179000000.0,125000000.0,,,,
1_Income_Statement,"Depreciation, Depletion and Amortization, Nonproduction",299000000.0,297000000.0,290000000.0,281000000.0,275000000.0,231000000.0,225000000.0,225000000.0,216000000.0,205000000.0,211000000.0,192000000.0,191000000.0,184000000.0,185000000.0,189000000.0,192000000.0,189000000.0,188000000.0,186000000.0,163000000.0,150000000.0,141000000.0,145000000.0,144000000.0,146000000.0,137000000.0,122000000.0,117000000.0,113000000.0,111000000.0,115000000.0,120000000.0,115000000.0,118000000.0,111000000.0,92000000.0,92000000.0,93000000.0,93000000.0,95000000.0,93000000.0,94000000.0,92000000.0,87000000.0,84000000.0,83000000.0,81000000.0,73000000.0,71000000.0,64000000.0,61000000.0,62000000.0,62000000.0,58000000.0,56000000.0,54000000.0,,,,
1_Income_Statement,Restructuring & Related Charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87000000.0,,,,,,,,,,,,,,,
1_Income_Statement,Total Costs and Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1161000000.0,1139000000.0,879000000.0,1398000000.0,1070000000.0,985000000.0,887000000.0,1206000000.0,970000000.0,868000000.0,799000000.0,996000000.0,854000000.0,846000000.0,758000000.0,1738000000.0,816000000.0,782000000.0,665000000.0
1_Income_Statement,Litigation & Settlement Charges,0.0,174000000.0,83000000.0,96000000.0,151000000.0,280000000.0,176000000.0,98000000.0,126000000.0,308000000.0,0.0,20000000.0,211000000.0,15000000.0,208000000.0,133000000.0,0.0,0.0,27000000.0,67000000.0,0.0,45000000.0,0.0,22000000.0,6000000.0,0.0,0.0,0.0,0.0,757000000.0,29000000.0,225000000.0,117000000.0,0.0,0.0,0.0,15000000.0,10000000.0,0.0,107000000.0,0.0,0.0,0.0,61000000.0,0.0,0.0,0.0,0.0,0.0,95000000.0,0.0,0.0,0.0,0.0,0.0,20000000.0,0.0,,,,
